"GeneIDs","count"
"ARM_repeat_superfamily_protein,ethylene_responsive_element_binding_factor_4,Yippee_family_putative_zinc-binding_protein,Protein_kinase_superfamily_protein",2
"Aldolase-type_TIM_barrel_family_protein",2
"BSD_domain-containing_protein,CW7,growth-regulating_factor_1,[LOW_BITSCORE]_frataxin-like_protein,ACT-like_protein_tyrosine_kinase_family_protein",2
"Brassinosteroid_signaling_positive_regulator_(BZR1)_family_protein",2
"CBL-interacting_protein_kinase_12,CBL-interacting_protein_kinase_20,glycerol-3-phosphate_acyltransferase_9",2
"Chlorophyll_A-B_binding_family_protein",2
"Chlorophyll_A-B_binding_family_protein,[LOW_BITSCORE]_uncharacterized_protein_AT4G07350",2
"Concanavalin_A-like_lectin_protein_kinase_family_protein",2
"Cox19-like_CHCH_family_protein,ribosomal_protein_S11-beta,aldehyde_dehydrogenase_6B2,FAD/NAD(P)-binding_oxidoreductase_family_protein,translocase_of_outer_membrane_20_kDa_subunit_3",2
"Cyclophilin-like_peptidyl-prolyl_cis-trans_isomerase_family_protein",2
"Cyclopropane-fatty-acyl-phospholipid_synthase",2
"D-ribose-binding_periplasmic_protein,transcription_regulator,late_embryogenesis_abundant_domain-containing_protein_/_LEA_domain-containing_protein",2
"DUF868_family_protein_(DUF868),uncharacterized_protein_AT3G22210,C-repeat-binding_factor_4,RAB6-interacting_golgin_(DUF662),alkaline/neutral_invertase,Protein_kinase_superfamily_protein,60S_acidic_ribosomal_protein_family,60S_acidic_ribosomal_protein_family",2
"Di-glucose_binding_protein_with_Leucine-rich_repeat_domain-containing_protein,uncharacterized_protein_AT1G13260",2
"Double_Clp-N_motif-containing_P-loop_nucleoside_triphosphate_hydrolases_superfamily_protein",2
"Esterase/lipase/thioesterase_family_protein,Cytidine/deoxycytidylate_deaminase_family_protein,uncharacterized_protein_AT1G54920,Transducin/WD40_repeat-like_superfamily_protein",2
"F-box/LRR_protein,[LOW_BITSCORE]_UB-like_protease_1A,[LOW_BITSCORE]_cationic_amino_acid_transporter_7,F-box/LRR_protein",2
"F-box_and_associated_interaction_domains-containing_protein,Coproporphyrinogen_III_oxidase",2
"F-box_and_associated_interaction_domains-containing_protein,F-box_and_associated_interaction_domains-containing_protein",2
"FAD-binding_Berberine_family_protein,Malectin/receptor-like_protein_kinase_family_protein",2
"FAD-binding_Berberine_family_protein,[LOW_BITSCORE]_alpha/beta-Hydrolases_superfamily_protein,[LOW_BITSCORE]_SHV3-like_5,Protein_phosphatase_2C_family_protein,[LOW_BITSCORE]_Replication_factor-A_protein_1-like_protein",2
"FAF-like_protein_(DUF3049)",2
"Flavin-binding_monooxygenase_family_protein,[LOW_BITSCORE]_Phosphoinositide_phosphatase_family_protein",2
"GRAS_family_transcription_factor,heme_oxygenase-like,_multi-helical,Ha412HOChr14g0639211",2
"Glucose-1-phosphate_adenylyltransferase_family_protein",2
"HXXXD-type_acyl-transferase_family_protein,HXXXD-type_acyl-transferase_family_protein,[LOW_BITSCORE]_RNA-binding_(RRM/RBD/RNP_motifs)_family_protein,HXXXD-type_acyl-transferase_family_protein",2
"Ha412HOChr01g0011411,DNA/RNA_helicase_protein,Homeodomain-like_superfamily_protein,[LOW_BITSCORE]_SPla/RYanodine_receptor_(SPRY)_domain-containing_protein,serine_carboxypeptidase-like_45,Cellulase_(glycosyl_hydrolase_family_5)_protein,Cellulase_(glycosyl_hydrolase_family_5)_protein,Cellulase_(glycosyl_hydrolase_family_5)_protein,cystatin_A,[LOW_BITSCORE]_LRR_and_NB-ARC_domains-containing_disease_resistance_protein",2
"Ha412HOChr01g0018181,[LOW_BITSCORE]_transmembrane_protein_(DUF616),Double_Clp-N_motif-containing_P-loop_nucleoside_triphosphate_hydrolases_superfamily_protein",2
"Ha412HOChr04g0174261,rotamase_FKBP_1,[LOW_BITSCORE]_RIBOSOMAL_RNA_PROCESSING_5",2
"Ha412HOChr06g0277621,[LOW_BITSCORE]_GRAS_family_transcription_factor,Ha412HOChr06g0277641,[LOW_BITSCORE]_ARM_repeat_superfamily_protein,Acyl_transferase/acyl_hydrolase/lysophospholipase_superfamily_protein",2
"Ha412HOChr09g0385901,SNF2/Brahma-type_chromatin-remodeling_protein_CHR12,[LOW_BITSCORE]_Protein_kinase_superfamily_protein,Peptidase_C15,_pyroglutamyl_peptidase_I-like_protein,Kinase_interacting_(KIP1-like)_family_protein",2
"Ha412HOChr15g0725051,soybean_gene_regulated_by_cold-2",2
"Homeodomain-like_transcriptional_regulator,DNA_binding_protein_SWC2,Leucine-rich_repeat_protein_kinase_family_protein,Leucine-rich_repeat_protein_kinase_family_protein",2
"Inorganic_H_pyrophosphatase_family_protein,[LOW_BITSCORE]_uncharacterized_protein_AT1G34440,DUF1685_family_protein",2
"LOB_domain-containing_protein_41",2
"Lactoylglutathione_lyase_/_glyoxalase_I_family_protein",2
"Late_embryogenesis_abundant_(LEA)_hydroxyproline-rich_glycoprotein_family,galacturonosyltransferase_9,amino-terminal_region_of_chorein,amino-terminal_region_of_chorein",2
"Late_embryogenesis_abundant_protein,_group_1_protein,NB-ARC_domain-containing_disease_resistance_protein",2
"Leucine-rich_repeat_protein_kinase_family_protein,disease_resistance_family_protein_/_LRR_family_protein,disease_resistance_protein_(TIR-NBS-LRR_class),transmembrane_receptors_/_ATP_binding_protein",2
"MAK10_homologue,ENTH/ANTH/VHS_superfamily_protein,[LOW_BITSCORE]_ENHANCED_DISEASE_RESISTANCE_2,NAD(P)-linked_oxidoreductase_superfamily_protein",2
"MAP_kinase_kinase_5,[LOW_BITSCORE]_AAA-type_ATPase_family_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,ADP-ribosylation_factor-like_A1C",2
"MEI2-like_protein_5,Phosphoribosyltransferase_family_protein,RING/U-box_superfamily_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",2
"Major_facilitator_superfamily_protein,origin_recognition_complex_subunit_3",2
"Mannose-binding_lectin_superfamily_protein,[LOW_BITSCORE]_phosphoglycolate_phosphatase,MA3_domain-containing_protein,Mannose-binding_lectin_superfamily_protein",2
"Mechanosensitive_ion_channel_family_protein",2
"Mitochondrial_import_inner_membrane_translocase_subunit_Tim17/Tim22/Tim23_family_protein,[LOW_BITSCORE]_Ca2+regulated_serine-threonine_protein_kinase_family_protein,alpha/beta-Hydrolases_superfamily_protein,multidrug_resistance-associated_protein_10,multidrug_resistance-associated_protein_10,multidrug_resistance-associated_protein_4",2
"Myb/SANT-like_DNA-binding_domain_protein,Remorin_family_protein,Remorin_family_protein,elongation_factor_family_protein",2
"Myosin_heavy_chain-related_protein,Myb/SANT-like_DNA-binding_domain_protein,[LOW_BITSCORE]_cytochrome_c_oxidase_19-1,[LOW_BITSCORE]_tryptophan_aminotransferase_related_1",2
"NAC_domain_containing_protein_41",2
"NB-ARC_domain-containing_disease_resistance_protein,Calcium-dependent_lipid-binding_(CaLB_domain)_family_protein,cytochrome_P450,_family_704,_subfamily_A,_polypeptide_2",2
"NB-ARC_domain-containing_disease_resistance_protein,Ergosterol_biosynthesis_ERG4/ERG24_family,NB-ARC_domain-containing_disease_resistance_protein,Ankyrin_repeat_family_protein,fatty_acid_desaturase_A,Ha412HOChr05g0240721",2
"Nodulin-like_/_Major_Facilitator_Superfamily_protein",2
"O-fucosyltransferase_family_protein,vacuolar_iron_transporter_1,T-complex_protein_1_alpha_subunit,Protein_kinase_superfamily_protein,Protein_kinase_superfamily_protein,Protein_kinase_superfamily_protein,RNA-directed_DNA_polymerase_(reverse_transcriptase)-related_family_protein",2
"OBF_binding_protein_4,[LOW_BITSCORE]_expansin_B5",2
"Octicosapeptide/Phox/Bem1p_family_protein,alpha/beta_hydrolase_family_protein,Reticulon_family_protein,[LOW_BITSCORE]_acetyl_Co-enzyme_a_carboxylase_carboxyltransferase_alpha_subunit,Reticulon_family_protein",2
"P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein,[LOW_BITSCORE]_fatty_acid_amide_hydrolase,oxidoreductases,_acting_on_NADH_or_NADPH,S-adenosyl-L-methionine-dependent_methyltransferases_superfamily_protein,Ha412HOChr06g0254141,cytochrome_B5_isoform_E,cytochrome_B5_isoform_E,cytochrome_P450,_family_78,_subfamily_A,_polypeptide_6",2
"Pectate_lyase_family_protein,Pyridoxal-5'-phosphate-dependent_enzyme_family_protein",2
"Pectinacetylesterase_family_protein,[LOW_BITSCORE]_Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",2
"Pentatricopeptide_repeat_(PPR)_superfamily_protein,Galactose_oxidase/kelch_repeat_superfamily_protein,beta-D-xylosidase_4",2
"Pentatricopeptide_repeat_(PPR)_superfamily_protein,Nucleic_acid-binding,_OB-fold-like_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,[LOW_BITSCORE]_Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,myosin_heavy_chain,_striated_protein",2
"Pentatricopeptide_repeat_(PPR)_superfamily_protein,uncharacterized_protein_AT3G23740,selenium-binding_protein_1,ralf-like_24,DNA_repair-recombination_protein_(RAD50),UDP-D-glucuronate_4-epimerase_6,[LOW_BITSCORE]_SKP1-like_10,glycine-rich_RNA-binding_protein_4,splicing_factor",2
"Pentatricopeptide_repeat_(PPR-like)_superfamily_protein",2
"Plant-specific_transcription_factor_YABBY_family_protein,2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,Plant_VAMP_(vesicle-associated_membrane_protein)_family_protein,Flavin-binding_monooxygenase_family_protein,F-box/RNI-like_superfamily_protein,peroxin_11c,phloem_protein_2-A13,shaggy-like_protein_kinase_32,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,RING/U-box_superfamily_protein,[LOW_BITSCORE]_alpha-(1,6)-fucosyltransferase",2
"Plant_invertase/pectin_methylesterase_inhibitor_superfamily,glycosyl_hydrolase_9B13",2
"Protein_kinase_superfamily_protein,[LOW_BITSCORE]_protein_kinase_family_protein_/_peptidoglycan-binding_LysM_domain-containing_protein,[LOW_BITSCORE]_BED_zinc_finger_and_hAT_dimerization_domain-containing_protein_DAYSLEEPER",2
"Protein_phosphatase_2C_family_protein",2
"RING-box_1,glutathione_S-transferase_THETA_1",2
"RING/U-box_superfamily_protein,[LOW_BITSCORE]_receptor_kinase_2,[LOW_BITSCORE]_Pentatricopeptide_repeat_(PPR-like)_superfamily_protein",2
"RING/U-box_superfamily_protein_with_ARM_repeat_domain-containing_protein,Eukaryotic_aspartyl_protease_family_protein,natural_resistance-associated_macrophage_protein_3,[LOW_BITSCORE]_Ribonuclease_H-like_superfamily_protein",2
"RNA-binding_(RRM/RBD/RNP_motifs)_family_protein",2
"RNA_processing_FACTOR",2
"RNA_processing_FACTOR,acyl-activating_enzyme_14,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,BRI1_suppressor_1_(BSU1)-like_3,[LOW_BITSCORE]_Regulator_of_chromosome_condensation_(RCC1)_family_with_FYVE_zinc_finger_domain-containing_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",2
"S-adenosyl-L-methionine-dependent_methyltransferases_superfamily_protein",2
"S-locus_lectin_protein_kinase_family_protein,Ha412HOChr05g0218321,SEUSS-like_3,BCL-2-associated_athanogene_3,arginine/serine-rich_splicing_factor_35,Peptidase_family_M48_family_protein",2
"SAUR-like_auxin-responsive_protein_family,SAUR-like_auxin-responsive_protein_family,O-fucosyltransferase_family_protein",2
"SAUR-like_auxin-responsive_protein_family,spermidine_hydroxycinnamoyl_transferase",2
"SNF2_domain-containing_protein_/_helicase_domain-containing_protein_/_HNH_endonuclease_domain-containing_protein,Ribonuclease_H-like_superfamily_protein,putative_endonuclease_or_glycosyl_hydrolase_with_C2H2-type_zinc_finger_domain-containing_protein,diacylglycerol_kinase1",2
"Shugoshin_C_terminus,Pectin_lyase-like_superfamily_protein",2
"Stabilizer_of_iron_transporter_SufD_/_Polynucleotidyl_transferase,[LOW_BITSCORE]_cleavage_and_polyadenylation_specificity_factor_73_kDa_subunit-II",2
"T-box_transcription_factor,_putative_(DUF863),Ankyrin_repeat_family_protein,[LOW_BITSCORE]_HXXXD-type_acyl-transferase_family_protein",2
"Tetraspanin_family_protein,Acyl-CoA_N-acyltransferases_(NAT)_superfamily_protein,CAAX_amino_terminal_protease_family_protein,RNA-directed_DNA_polymerase_(reverse_transcriptase)-related_family_protein,acyl-UDP-N-acetylglucosamine_O-acyltransferase,proton_pump_interactor_1",2
"Thioredoxin_superfamily_protein,[LOW_BITSCORE]_potassium_channel_protein,BTB/POZ_domain-containing_protein",2
"Transcription_elongation_factor_(TFIIS)_family_protein,Transcription_elongation_factor_(TFIIS)_family_protein,Transcription_elongation_factor_(TFIIS)_family_protein,basic_region/leucine_zipper_transcription_factor_16",2
"Transcription_factor_IIIC,_subunit_5,Transcription_factor_IIIC,_subunit_5,[LOW_BITSCORE]_F-box_and_associated_interaction_domains-containing_protein",2
"Transducin/WD40_repeat-like_superfamily_protein,[LOW_BITSCORE]_alcohol_dehydrogenase_1,Peptidase_M50_family_protein,lateral_organ_boundaries-domain_16",2
"Translation_initiation_factor_2,_small_GTP-binding_protein,[LOW_BITSCORE]_Trypsin_family_protein,seryl-tRNA_synthetase_/_serine-tRNA_ligase,[LOW_BITSCORE]_RNA-directed_DNA_polymerase_(reverse_transcriptase)-related_family_protein,[LOW_BITSCORE]_extensin-like_protein,TOPLESS-related_1,[LOW_BITSCORE]_DHHC-type_zinc_finger_family_protein",2
"UDP-Glycosyltransferase_superfamily_protein,UDP-Glycosyltransferase_superfamily_protein",2
"UDP-Glycosyltransferase_superfamily_protein,UDP-Glycosyltransferase_superfamily_protein,UDP-Glycosyltransferase_superfamily_protein,[LOW_BITSCORE]_winged-helix_DNA-binding_transcription_factor_family_protein",2
"UDP-glucosyl_transferase_73B5,[LOW_BITSCORE]_LOB_domain-containing_protein_22,RmlC-like_cupins_superfamily_protein",2
"Uncharacterized_protein_family_(UPF0497),[LOW_BITSCORE]_LEUNIG-like_protein,[LOW_BITSCORE]_Pentatricopeptide_repeat_(PPR)_superfamily_protein,DNA_ligase_(DUF1666)",2
"UvrB/UvrC_domain_protein_(DUF3506),nicotinamidase_1",2
"WRKY_family_transcription_factor,RAB_GTPase_11C,Ha412HOChr06g0277191",2
"YELLOW_STRIPE_like_3,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein,Ypt/Rab-GAP_domain_of_gyp1p_superfamily_protein,[LOW_BITSCORE]_kinesin-like_protein_1,signal_recognition_particle_19_kDa_protein,_putative_/_SRP19,kish-A-like_protein,chlorophyllase_2,ABL_interactor-like_protein_3,[LOW_BITSCORE]_rac_GTPase_activating_protein,cytochrome_C_oxidase_subunit,Translation_elongation_factor_EF1B/ribosomal_protein_S6_family_protein,Translation_elongation_factor_EF1B/ribosomal_protein_S6_family_protein",2
