# Groups associated with records, within table '/Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt'
# Based on groups table '/Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt'
# Generated on: 2026.01.07 18:10:38
# Used command:
#   /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/collapse_table.py -i /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_table_16S.txt -o /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/func_table.tsv -g /Users/cliftonbdemesquita/Desktop/FAPROTAX_1.2.9/FAPROTAX.txt -d taxonomy -c '#' -v --out_groups2records_table /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output.txt --out_groups2records_table_dense /Users/cliftonbdemesquita/Documents/GitHub/SunflowerG/data/otu_faprotax_output_long.txt
#
# Summary:
#   Loaded 92 groups comprising 8355 members (5060 unique members)
#   Established 6905 assignments of records to groups
#   15660 out of 19274 records could not be assigned to any group (leftovers)
#   Number of groups represented: 44
#
record	group
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin517,OTU_206"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,OTU_533"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_221"	chemoheterotrophy
"Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Terracidiphilus,OTU_559"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,OTU_292"	
"Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,OTU_26"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_364"	chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_131"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,OTU_91"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,OTU_101"	
"Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,OTU_2"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,OTU_31"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,OTU_106"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_239"	aerobic_chemoheterotrophy,chemoheterotrophy
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrocosmicus,OTU_22"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OTU_275"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,OTU_28"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,OTU_2314"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,OTU_2791"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_1394"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,OTU_317"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_81"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,OTU_1076"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,211ds20,NA,OTU_2747"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Asanoa,OTU_5211"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_10"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_162"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_260"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_109"	chemoheterotrophy
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_3445"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,OTU_1245"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,OTU_5250"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,OTU_8"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,OTU_209"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,OTU_9469"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,OTU_7960"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,NA,OTU_2663"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,OTU_2298"	
"Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,NA,NA,OTU_3029"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_25"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_2864"	chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,OTU_287"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,OTU_1435"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,OTU_3059"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,OTU_389"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_2277"	
"Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,OTU_123"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,OTU_360"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_795"	
"Bacteria,Proteobacteria,Gammaproteobacteria,KF-JG30-C25,NA,NA,OTU_2820"	
"Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,OTU_175"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,OTU_65"	nitrogen_fixation,aerobic_chemoheterotrophy,ureolysis,chemoheterotrophy
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,OTU_1928"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,OTU_16003"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_250"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_146"	
"Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA,OTU_348"	
"Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionaceae,NA,OTU_6395"	nonphotosynthetic_cyanobacteria
"Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,OTU_17850"	
"Bacteria,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,OTU_996"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,OTU_3255"	
"Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,OTU_1386"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_13"	chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,OTU_127"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,OTU_1589"	aerobic_chemoheterotrophy,chemoheterotrophy
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,OTU_307"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin517,OTU_34"	
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_4"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_904"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Chloroflexi,TK10,NA,NA,NA,OTU_74"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,OTU_190"	nitrate_denitrification,nitrite_denitrification,denitrification,nitrite_respiration,aerobic_chemoheterotrophy,nitrate_respiration,nitrate_reduction,nitrogen_respiration,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy,photoautotrophy,photoheterotrophy,phototrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,OTU_1283"	
"Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Knoellia,OTU_392"	aerobic_chemoheterotrophy,nitrate_reduction,chemoheterotrophy
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_9"	chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,NA,OTU_657"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_233"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_668"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,OTU_905"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_30"	chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_100"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_54"	
"Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,OTU_8721"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,OTU_414"	
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_12"	
"Bacteria,Chloroflexi,JG30-KF-CM66,NA,NA,NA,OTU_9438"	
"Bacteria,Armatimonadota,NA,NA,NA,NA,OTU_20060"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,OTU_1497"	
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA,OTU_3784"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,OTU_7039"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_151"	chemoheterotrophy
"Bacteria,Myxococcota,bacteriap25,NA,NA,NA,OTU_1689"	
"Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,OTU_42"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,OTU_21"	
"Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,OTU_7327"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,OTU_1994"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrocosmicus,OTU_242"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,OTU_2258"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,OTU_829"	chemoheterotrophy
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,OTU_7523"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,OTU_53"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,OTU_1753"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,OTU_238"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_456"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_5"	
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_369"	
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_6067"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,OTU_5572"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudochrobactrum,OTU_5246"	
"Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,OTU_112"	
"Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,OTU_4491"	
"Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,OTU_215"	predatory_or_exoparasitic
"Bacteria,Gemmatimonadota,S0134 terrestrial group,NA,NA,NA,OTU_3771"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_20"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,OTU_19"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,OTU_118"	
"Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,OTU_443"	
"Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,OTU_252"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_2739"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,OTU_2647"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,OTU_6838"	
"Bacteria,NA,NA,NA,NA,NA,OTU_15631"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,OTU_1147"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_6"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_4384"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,OTU_2300"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Fontimonas,OTU_3305"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,OTU_2923"	
"Bacteria,Acidobacteriota,Subgroup 5,NA,NA,NA,OTU_8221"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin517,OTU_98"	
"Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,NA,OTU_2126"	
"Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,NA,NA,OTU_12733"	
"Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter,OTU_2983"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,OTU_75"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,OTU_4150"	
"Bacteria,Chloroflexi,Ktedonobacteria,C0119,NA,NA,OTU_901"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_9615"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,OTU_13485"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,OTU_745"	
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_3073"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_3008"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,OTU_346"	chemoheterotrophy
"Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,OTU_5351"	
"Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,OTU_1669"	
"Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,OTU_989"	
"Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,OTU_3605"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,OTU_796"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,OTU_70"	
"Bacteria,Gemmatimonadota,BD2-11 terrestrial group,NA,NA,NA,OTU_5120"	
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,OTU_847"	
"Bacteria,NA,NA,NA,NA,NA,OTU_2030"	
"Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,OTU_4086"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_7"	
"Bacteria,Chloroflexi,NA,NA,NA,NA,OTU_3274"	
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,OTU_1538"	
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,OTU_983"	
"Bacteria,Chloroflexi,KD4-96,NA,NA,NA,OTU_537"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_2548"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,OTU_960"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,OTU_196"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,OTU_2874"	
"Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,OTU_23"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,OTU_257"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,OTU_17"	nitrogen_fixation,aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,OTU_476"	
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,OTU_6182"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,OTU_29"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,OTU_2150"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_1234"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,OTU_326"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,OTU_1460"	
"Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,OTU_3125"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Krasilnikovia,OTU_490"	
"Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,OTU_613"	
"Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,OTU_342"	
"Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,OTU_1567"	chemoheterotrophy
"Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,OTU_37"	
"Bacteria,Acidobacteriota,Blastocatellia,DS-100,NA,NA,OTU_3741"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,OTU_2700"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Ellin517,OTU_94"	
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,OTU_702"	
"Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,OTU_325"	
"Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,OTU_1298"	
"Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,OTU_261"	aerobic_ammonia_oxidation,nitrification
"Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,OTU_332"	nitrate_denitrification,nitrite_denitrification,denitrification,nitrite_respiration,aerobic_chemoheterotrophy,nitrate_respiration,nitrate_reduction,nitrogen_respiration,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy,photoautotrophy,photoheterotrophy,phototrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,OTU_278"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,OTU_56"	
"Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,OTU_1389"	
"Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,OTU_5814"	aerobic_chemoheterotrophy,chemoheterotrophy
"Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,OTU_4797"	
