"GeneIDs","count"
"Late_embryogenesis_abundant_protein,_group_1_protein,NB-ARC_domain-containing_disease_resistance_protein",11
"Leucine-rich_repeat_protein_kinase_family_protein,BTB/POZ_domain-containing_protein,[LOW_BITSCORE]_Hypoxia-responsive_family_protein,Major_facilitator_superfamily_protein",11
"Major_facilitator_superfamily_protein",11
"NAC_domain_containing_protein_28,NAC_domain_containing_protein_28,[LOW_BITSCORE]_P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein",11
"POLLEN-EXPRESSED_TRANSCRIPTION_FACTOR_2,uncharacterized_protein_AT5G47580",11
"SPla/RYanodine_receptor_(SPRY)_domain-containing_protein",11
"Transducin/WD40_repeat-like_superfamily_protein,Pentatricopeptide_repeat_(PPR)_superfamily_protein,[LOW_BITSCORE]_Leucine-rich_repeat_protein_kinase_family_protein,2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein",11
"[LOW_BITSCORE]_SET_domain-containing_protein",11
"[LOW_BITSCORE]_YELLOW_STRIPE_like_3,[LOW_BITSCORE]_UDP-glucosyl_transferase_85A3,succinate_dehydrogenase_1-1",11
"epsin_N-terminal_homology_(ENTH)_domain-containing_protein_/_clathrin_assembly_protein-like_protein,RNA_recognition_motif_and_CCHC-type_zinc_finger_domains_containing_protein",11
"fatty_acid_desaturase_5",11
"heme_oxygenase-like,_multi-helical,Core-2/I-branching_beta-1,6-N-acetylglucosaminyltransferase_family_protein,N-acetylglucosamine-1-phosphate_uridylyltransferase_2",11
"nitrite_reductase_1,Vacuolar_import/degradation,_Vid27-related_protein,Leucine-rich_repeat_(LRR)_family_protein",11
"phloem_protein_2-B14,Plant_invertase/pectin_methylesterase_inhibitor_superfamily,EEIG1/EHBP1_protein_amino-terminal_domain_protein,uncharacterized_protein_AT5G27860",11
"uncharacterized_protein_AT5G47580,uncharacterized_protein_AT5G47580,[LOW_BITSCORE]_S-locus_lectin_protein_kinase_family_protein,SNARE_associated_Golgi_protein_family,lipid_transporter",11
"10-formyltetrahydrofolate_synthetase,Plastid-lipid_associated_protein_PAP_/_fibrillin_family_protein,PRLI-interacting_factor,Protein_kinase_superfamily_protein,selenoprotein_O",10
"Ankyrin_repeat_family_protein",10
"C2H2_and_C2HC_zinc_fingers_superfamily_protein,zinc_finger_CCCH_domain_protein,Ha412HOChr17g0853771",10
"CCCH-type_zinc_finger_protein_with_ARM_repeat_domain-containing_protein",10
"Calcium-binding_EF-hand_family_protein,UNC-50_family_protein,UNC-50_family_protein",10
"Cytochrome_P450_superfamily_protein",10
"Glutamate_receptor_family_protein,glutamate_receptor_2.5,[LOW_BITSCORE]_nucleic_acid_binding_/_zinc_ion_binding_protein,Ha412HOChr06g0270311",10
"Histone_superfamily_protein",10
"Leucine-rich_repeat_transmembrane_protein_kinase,cysteine-rich_RLK_(RECEPTOR-like_protein_kinase)_2,Ha412HOChr07g0301131",10
"Mannose-binding_lectin_superfamily_protein,GRAS_family_transcription_factor,ubiquitin_activating_enzyme_2,[LOW_BITSCORE]_S-adenosyl-L-methionine-dependent_methyltransferase_superfamily_protein",10
"Matrixin_family_protein,Ha412HOChr16g0769321",10
"Nucleic_acid-binding,_OB-fold-like_protein",10
"O-fucosyltransferase_family_protein",10
"Pectin_lyase-like_superfamily_protein",10
"Peroxidase_superfamily_protein",10
"Peroxidase_superfamily_protein,F-type_H+-transporting_ATPase_subunit_delta,Peroxidase_superfamily_protein,DHHC-type_zinc_finger_family_protein,Low_affinity_potassium_transport_system_protein,Nucleotide-sugar_transporter_family_protein,gigantea_protein_(GI)",10
"Protein_kinase_superfamily_protein,Clathrin_light_chain_protein,C-terminal_domain_phosphatase-like_1,[LOW_BITSCORE]_pre-mRNA-splicing_factor_ISY1-like_protein",10
"Rhamnogalacturonate_lyase_family_protein,[LOW_BITSCORE]_SPX_(SYG1/Pho81/XPR1)_domain-containing_protein,Rhamnogalacturonate_lyase_family_protein,sister_chromatid_cohesion_1_protein_4",10
"SAUR-like_auxin-responsive_protein_family",10
"SGNH_hydrolase-type_esterase_superfamily_protein",10
"Sec14p-like_phosphatidylinositol_transfer_family_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",10
"Serine/Threonine-kinase_pakA-like_protein",10
"Zinc_finger_C-x8-C-x5-C-x3-H_type_family_protein",10
"[LOW_BITSCORE]_Calcium-dependent_protein_kinase_(CDPK)_family_protein,Fibronectin_type_III_domain-containing_protein",10
"[LOW_BITSCORE]_aspartate_kinase_3",10
"[LOW_BITSCORE]_glycosyl_hydrolase_family_10_protein_/_carbohydrate-binding_domain-containing_protein,cold-regulated_47,Ha412HOChr08g0336791,Malectin/receptor-like_protein_kinase_family_protein",10
"[LOW_BITSCORE]_subtilase_family_protein,Ha412HOChr11g0515411",10
"anaphase_promoting_complex_6,UDP-Glycosyltransferase_superfamily_protein",10
"cysteine-rich_RLK_(RECEPTOR-like_protein_kinase)_11,[LOW_BITSCORE]_disease_resistance_protein_(TIR-NBS-LRR_class),[LOW_BITSCORE]_Single-stranded_nucleic_acid_binding_R3H_protein,[LOW_BITSCORE]_kinesin-like_protein_1",10
"laccase_17",10
"leucoanthocyanidin_dioxygenase,leucoanthocyanidin_dioxygenase,COP1-interacting_protein_7,beta_glucosidase_46,beta-glucosidase_45,[LOW_BITSCORE]_Polynucleotidyl_transferase,_ribonuclease_H-like_superfamily_protein",10
"tubby_like_protein_1,uncharacterized_protein_AT1G56423",10
"tubby_like_protein_10,[LOW_BITSCORE]_RNA-binding_ASCH_domain_protein",10
"ubiquitin_family_protein,antitermination_NusB_domain-containing_protein,[LOW_BITSCORE]_DYNAMIN-like_1C,peptide_transporter_5,Ha412HOChr16g0769841,Syntaxin/t-SNARE_family_protein",10
"uncharacterized_protein_AT1G65720,Concanavalin_A-like_lectin_protein_kinase_family_protein",10
"D6_protein_kinase_like_2,Adenine_nucleotide_alpha_hydrolases-like_superfamily_protein",9
"DNAJ-like_20",9
"DNAse_I-like_superfamily_protein",9
"DUF1442_family_protein_(DUF1442),DUF1442_family_protein_(DUF1442),[LOW_BITSCORE]_proteasome_family_protein,DUF1442_family_protein_(DUF1442)",9
"Dof-type_zinc_finger_DNA-binding_family_protein",9
"F-box_and_associated_interaction_domains-containing_protein,F-box_and_associated_interaction_domains-containing_protein,glycosyl_hydrolase_9B5,[LOW_BITSCORE]_Galactose_oxidase/kelch_repeat_superfamily_protein",9
"F-box_family_protein",9
"Galactose_oxidase/kelch_repeat_superfamily_protein,ATP_binding_microtubule_motor_family_protein",9
"Ha412HOChr11g0505121,fibrillarin_1",9
"Heavy_metal_transport/detoxification_superfamily_protein",9
"IQ-domain_21",9
"NB-ARC_domain-containing_disease_resistance_protein,Disease_resistance_protein_(CC-NBS-LRR_class)_family,DUF1995_domain_protein,_putative_(DUF1995),NPK1-related_protein_kinase_1,P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein",9
"PEBP_(phosphatidylethanolamine-binding_protein)_family_protein",9
"Pentatricopeptide_repeat_(PPR)_superfamily_protein",9
"Phosphatidylinositol_N-acetylglucosaminyltransferase,_GPI19/PIG-P_subunit,calmodulin_binding_protein",9
"Polynucleotidyl_transferase,_ribonuclease_H-like_superfamily_protein",9
"Pre-rRNA-processing_protein_TSR2,_conserved_region,ribosomal_protein_L23AB,P-glycoprotein_20,PsbP-like_protein_2,receptor_like_protein_50,Ankyrin_repeat_family_protein,Pentatricopeptide_repeat_(PPR-like)_superfamily_protein,C2H2_and_C2HC_zinc_fingers_superfamily_protein,uncharacterized_protein_AT3G12590",9
"S-locus_lectin_protein_kinase_family_protein,RING/FYVE/PHD_zinc_finger_superfamily_protein,S-locus_lectin_protein_kinase_family_protein",9
"SH3_domain-containing_protein",9
"Transducin_family_protein_/_WD-40_repeat_family_protein",9
"[LOW_BITSCORE]_CVP2_like_1",9
"[LOW_BITSCORE]_Pentatricopeptide_repeat_(PPR)_superfamily_protein,[LOW_BITSCORE]_regulatory_particle_non-ATPase_12B",9
"[LOW_BITSCORE]_Transmembrane_amino_acid_transporter_family_protein",9
"[LOW_BITSCORE]_Zinc_knuckle_(CCHC-type)_family_protein",9
"[LOW_BITSCORE]_disease_resistance_protein_(TIR-NBS-LRR_class),[LOW_BITSCORE]_F-box/RNI-like/FBD-like_domains-containing_protein,cytochrome_P450,_family_82,_subfamily_G,_polypeptide_1,[LOW_BITSCORE]_nucleolar_protein,[LOW_BITSCORE]_nucleolar_protein",9
"[LOW_BITSCORE]_disease_resistance_protein_(TIR-NBS-LRR_class)_family,Ha412HOChr08g0370261,[LOW_BITSCORE]_Eukaryotic_aspartyl_protease_family_protein",9
"[LOW_BITSCORE]_farnesylated_protein-converting_enzyme_2,Ha412HOChr11g0507011",9
"[LOW_BITSCORE]_golgin,[LOW_BITSCORE]_maternally_expressed_family_protein",9
"chaperonin_20,Ikzf5_(DUF668)",9
"cysteine-rich_RLK_(RECEPTOR-like_protein_kinase)_2,Ha412HOChr07g0301211,cysteine-rich_RLK_(RECEPTOR-like_protein_kinase)_42",9
"cytochrome_P450,_family_76,_subfamily_C,_polypeptide_1",9
"cytokinin_response_factor_2",9
"early_endosome_antigen,uncharacterized_protein_AT2G14095",9
"electron_transporter,_putative_(Protein_of_unknown_function,_DUF547)",9
"eukaryotic_translation_initiation_factor_2_(eIF-2)_family_protein,[LOW_BITSCORE]_fucosyltransferase_3,[LOW_BITSCORE]_bromodomain_and_extraterminal_domain_protein_10,H[+]-ATPase_11,HAUS_augmin-like_complex_subunit,G1/S-specific_cyclin-E_protein,[LOW_BITSCORE]_LSD1-like_3,O-Glycosyl_hydrolases_family_17_protein",9
"flower-specific,_phytochrome-associated_protein_phosphatase_3,WHIRLY_2,CTP_synthase_family_protein,uncharacterized_protein_AT4G17250",9
"homogentisate_phytyltransferase_1,Ha412HOChr09g0383311,homogentisate_phytyltransferase_1",9
"hydroxyproline-rich_glycoprotein_family_protein",9
"netrin_receptor_DCC",9
"nodulin_MtN21_/EamA-like_transporter_family_protein",9
"pfkB-like_carbohydrate_kinase_family_protein,aspartate_kinase-homoserine_dehydrogenase_ii",9
"phosphoenolpyruvate_carboxylase_3,general_regulatory_factor_9,[LOW_BITSCORE]_Protein_kinase_superfamily_protein",9
"protein_kinase_family_protein,[LOW_BITSCORE]_ABC-2_and_Plant_PDR_ABC-type_transporter_family_protein",9
"ribulose-1,5-bisphosphate_carboxylase/oxygenase_large_subunit_(chloroplast)",9
"senescence-associated_gene_101,HCO3-_transporter_family,HCO3-_transporter_family,HCO3-_transporter_family,[LOW_BITSCORE]_F-box_and_associated_interaction_domains-containing_protein,Transducin/WD40_repeat-like_superfamily_protein,ATPase,_F0/V0_complex,_subunit_C_protein,nucleotide_transporter_1,Phototropic-responsive_NPH3_family_protein,pleiotropic_drug_resistance_12",9
"tRNA-splicing_ligase_(DUF239),uncharacterized_protein_AT3G03560",9
"tetratricopetide-repeat_thioredoxin-like_1",9
"tobamovirus_multiplication_1,Protein_phosphatase_2C_family_protein,[LOW_BITSCORE]_uncharacterized_protein_AT5G28823,1,8-cineole_synthase",9
"ubiquitin_E2_variant_1D-4,alpha/beta-Hydrolases_superfamily_protein,HVA22-like_protein_J,uncharacterized_protein_AT3G52520,E2F_transcription_factor_3",9
"xyloglucan_endotransglucosylase/hydrolase_10,[LOW_BITSCORE]_chloroplast_30S_ribosomal_protein_S20,Ha412HOChr12g0560691",9
"2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein,2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein",8
"Adenine_nucleotide_alpha_hydrolases-like_superfamily_protein",8
"Ankyrin_repeat_family_protein,Ankyrin_repeat_family_protein",8
"Auxin-responsive_GH3_family_protein,[LOW_BITSCORE]_methionine_aminopeptidase_2B,[LOW_BITSCORE]_minichromosome_maintenance_(MCM2/3/5)_family_protein",8
"Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein,heat_shock_protein_70",8
"CheY-like_two-component_responsive_regulator_family_protein",8
"Coatomer,_alpha_subunit",8
"DNAJ_heat_shock_family_protein,methyl-CPG-binding_domain_8,metacaspase_1,heavy_metal_atpase_3",8
"Disease_resistance_protein_(TIR-NBS-LRR_class)_family,Ha412HOChr02g0055821",8
"F-box_and_associated_interaction_domains-containing_protein,F-box_and_associated_interaction_domains-containing_protein",8
"Galactose_oxidase/kelch_repeat_superfamily_protein",8
"Ha412HOChr02g0057901",8
"LURP-one-like_protein_(DUF567),[LOW_BITSCORE]_cation/H+_exchanger_6A,Late_embryogenesis_abundant_(LEA)_hydroxyproline-rich_glycoprotein_family",8
"Leucine-rich_receptor-like_protein_kinase_family_protein",8
"MATE_efflux_family_protein,BRISC_complex_subunit_Abro1-like_protein,Tautomerase/MIF_superfamily_protein",8
"MATE_efflux_family_protein,early_nodulin-like_protein_1,ralf-like_4,embryo_defective_2737,haloacid_dehalogenase-like_hydrolase_family_protein",8
"MATE_efflux_family_protein,sucrose_transporter_4",8
"Myosin_family_protein_with_Dil_domain-containing_protein,Myosin_family_protein_with_Dil_domain-containing_protein,Myosin_family_protein_with_Dil_domain-containing_protein",8
"Polynucleotidyl_transferase,_ribonuclease_H_fold_protein_with_HRDC_domain-containing_protein,Leucine-rich_repeat_protein_kinase_family_protein,glycosyl_hydrolase_9A1,netrin_receptor_DCC",8
"Protein_with_RING/U-box_and_TRAF-like_domain,formyltransferase,[LOW_BITSCORE]_Cysteine/Histidine-rich_C1_domain_family_protein,cytochrome_P450,_family_82,_subfamily_C,_polypeptide_4,Heavy_metal_transport/detoxification_superfamily_protein",8
"Putative_lysine_decarboxylase_family_protein",8
"Pyridoxal-5'-phosphate-dependent_enzyme_family_protein,Homeobox-leucine_zipper_family_protein_/_lipid-binding_START_domain-containing_protein,ROP-interactive_CRIB_motif-containing_protein_10",8
"Pyridoxal_phosphate_(PLP)-dependent_transferases_superfamily_protein,YELLOW_STRIPE_like_1,kinase_family_with_ARM_repeat_domain-containing_protein,[LOW_BITSCORE]_Calcium-binding_EF-hand_family_protein,Pyridoxal_phosphate_(PLP)-dependent_transferases_superfamily_protein",8
"Ras-related_small_GTP-binding_family_protein,serine/arginine_repetitive_matrix-like_protein",8
"Ribosomal_protein_L19e_family_protein,[LOW_BITSCORE]_Nodulin_MtN21_/EamA-like_transporter_family_protein,nine-cis-epoxycarotenoid_dioxygenase_5",8
"Ribosomal_protein_L1p/L10e_family,Glutathione_S-transferase_family_protein,copper-exporting_ATPase_/_responsive-to-antagonist_1_/_copper-transporting_ATPase_(RAN1),copper-exporting_ATPase_/_responsive-to-antagonist_1_/_copper-transporting_ATPase_(RAN1),Pectin_lyase-like_superfamily_protein",8
"Ribosomal_protein_S21_family_protein,basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein",8
"Sec14p-like_phosphatidylinositol_transfer_family_protein",8
"TLC_ATP/ADP_transporter,SOS3-interacting_protein_1,WEB_family_protein_(DUF827),[LOW_BITSCORE]_S-adenosyl-L-methionine-dependent_methyltransferases_superfamily_protein,transcription_factor_SCREAM-like_protein",8
"TRICHOME_BIREFRINGENCE-LIKE_34",8
"Transport_protein_particle_(TRAPP)_component,RNA-binding_KH_domain-containing_protein,[LOW_BITSCORE]_Y-family_DNA_polymerase_H,Polynucleotide_adenylyltransferase_family_protein,Polynucleotide_adenylyltransferase_family_protein,UDP-Glycosyltransferase_superfamily_protein,GTP-binding_protein-like_protein,EPIDERMAL_PATTERNING_FACTOR-like_protein",8
"[LOW_BITSCORE]_B-block-binding_subunit_of_TFIIIC_protein,NAC_domain_containing_protein_28,NAC_domain_containing_protein_28",8
"[LOW_BITSCORE]_Calcium-dependent_phosphotriesterase_superfamily_protein",8
"[LOW_BITSCORE]_Clp_ATPase,CLPC_homologue_1,Disease_resistance-responsive_(dirigent-like_protein)_family_protein,scarecrow-like_3,scarecrow-like_3",8
"[LOW_BITSCORE]_DNA_polymerase_epsilon_catalytic_subunit_A,[LOW_BITSCORE]_uncharacterized_protein_AT5G42785,endoplasmatic_reticulum_retrieval_protein_1B,gamma_carbonic_anhydrase_1,20S_proteasome_alpha_subunit_F2,[LOW_BITSCORE]_Cam-binding_protein_60-like_G",8
"[LOW_BITSCORE]_ENTH/VHS_protein,NAC_domain_containing_protein_2",8
"[LOW_BITSCORE]_Mitochondrial_glycoprotein_family_protein,RNI-like_superfamily_protein,[LOW_BITSCORE]_S-adenosyl-L-methionine-dependent_methyltransferases_superfamily_protein,Major_facilitator_superfamily_protein,Leucine-rich_repeat_receptor-like_protein_kinase_family_protein",8
"[LOW_BITSCORE]_NIM1-interacting_2,S-locus_lectin_protein_kinase_family_protein,receptor_kinase_3,S-locus_lectin_protein_kinase_family_protein",8
"[LOW_BITSCORE]_UDP-Glycosyltransferase_superfamily_protein,Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein",8
"[LOW_BITSCORE]_bZIP_transcription_factor_family_protein",8
"[LOW_BITSCORE]_glycosyltransferase_(DUF604),[LOW_BITSCORE]_Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",8
"auxin_response_factor_11",8
"basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein,[LOW_BITSCORE]_UDP-D-glucuronate_4-epimerase_3,aspartate_aminotransferase,[LOW_BITSCORE]_aspartate_aminotransferase,Inorganic_H_pyrophosphatase_family_protein,[LOW_BITSCORE]_Disease_resistance_protein_(TIR-NBS-LRR_class),Nucleotide-sugar_transporter_family_protein",8
"calmodulin_(CAM)-binding_protein_of_25_kDa",8
"cardiomyopathy-associated_protein",8
"cytokinin_oxidase/dehydrogenase_6",8
"embryonic_cell_protein_63,ubiquitin-protein_ligase_7,L-O-methylthreonine_resistant_1",8
"erf_domain_protein_9",8
"glycosyltransferase-like_protein,cytokinin_oxidase/dehydrogenase_6",8
"highly_ABA-induced_PP2C_protein_3,cytoplasmic_tRNA_2-thiolation_protein,HSI2-like_1",8
"hydroxyproline-rich_glycoprotein_family_protein,ENTH/VHS/GAT_family_protein,basic_pentacysteine1,Ha412HOChr12g0550101,Ha412HOChr12g0550111",8
"kinesin_4",8
"methyltransferase,Pentatricopeptide_repeat_(PPR-like)_superfamily_protein",8
"myb_domain_protein_43",8
"myo-inositol_oxygenase_4,[LOW_BITSCORE]_Topoisomerase_II-associated_protein_PAT1,[LOW_BITSCORE]_disease_resistance_protein_(TIR-NBS-LRR_class),VEFS-Box_of_polycomb_protein,Tetratricopeptide_repeat_(TPR)-like_superfamily_protein",8
"oxidoreductase,_2OG-Fe(II)_oxygenase_family_protein,endoplasmic_reticulum_auxin_binding_protein_1",8
"phosphoenolpyruvate_carboxylase-related_kinase_2,Target_SNARE_coiled-coil_domain_protein",8
"plant_U-box_17",8
"plasma_membrane_fusion_protein,Ha412HOChr07g0297551",8
"ribosomal_protein_large_subunit_16A",8
"signal_transducer,_putative_(DUF3550/UPF0682),[LOW_BITSCORE]_F-box_protein_with_a_domain_protein",8
"signal_transducer/transcription_protein,_putative_(DUF1685),[LOW_BITSCORE]_coiled-coil_protein_(DUF572),UDP-galactose_transporter_6",8
